,Sex,Age,Race,OtherRace,HispanicLatino,HighestEducation,HeightInches,WeightPounds,RelationshipStatus,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,RentOwn,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtSources,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,GamblingProblem,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount,MotivationForParticipation,MotivationOther
s005,0,37, Black or African American,,0,3,76,180,1,0,8,5,0,38000,0.0,,0,1.0,1.0,1.0,1.0,,1.0,0,0,0,0,0,0,3,4,money,
s007,1,33, Black or African American,,0,4,64,130,1,0,90,3,3,100000,0.0,,1,1.0,1.0,1.0,2.0,,1.0,0,0,0,0,0,0,2,2,want to contribute to research,
s009,0,27,White,,0,4,72,245,3,0,25,3,0,8000,0.0,,0,1.0,1.0,4.0,1.0,,,0,1,1,0,0,0,0,0,money,
s011,1,27,White,,0,3,72,350,3,1,60,3,0,27000,0.0,,0,1.0,1.0,4.0,1.0,none,1.0,0,0,0,0,0,0,0,0,money,
s012,1,36,White,,0,3,68,266,2,0,146,5,4,32000,0.0,,0,1.0,1.0,4.0,1.0,,,1,0,0,400,0,0,2,0,money,
s014,0,29,White,,0,2,68,230,3,0,120,2,1,10000,0.0,,0,,,,,,,0,0,0,0,0,0,0,0,money,
s015,0,27,White,,0,2,75,200,1,0,36,4,0,24000,0.0,,1,1.0,1.0,1.0,1.0,,,0,0,1,0,0,0,0,0,money,
s017,0,31,White,,0,4,69,180,1,0,36,5,0,48000,1.0,90,0,1.0,4.0,1.0,1.0,,1.0,3,1,0,200,0,0,0,0,money,
s026,0,38,White,,0,4,71,195,1,0,24,5,0,30000,0.0,,1,1.0,1.0,1.0,1.0,,,0,0,0,0,0,0,1,0,money,
s027,0,30,White,,0,3,72,183,1,0,84,1,0,19900,0.0,,0,1.0,1.0,1.0,1.0,,,3,0,0,0,0,0,1,0,money,
s028,0,31,White,,0,4,66,210,1,0,48,5,0,35000,0.0,,0,1.0,4.0,4.0,3.0,,,4,0,0,0,0,0,2,0,money,
s032,0,38,White,,0,3,72,235,2,1,132,6,1,78000,1.0,10,1,7.0,1.0,1.0,1.0,,,2,0,2,210,0,0,2,0,money,
s034,1,28,White,,0,3,61,180,2,0,93,5,1,35000,0.0,,0,6.0,1.0,3.0,1.0,,1.0,1,0,0,0,0,0,2,0,money,
