,Age,HighestEducation,HeightInches,WeightPounds,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount
s005,37,3,76,180,0,8,5,0,38000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,3,4
s007,33,4,64,130,0,90,3,3,100000,0.0,,1.0,1.0,1.0,2.0,1.0,0,0,0,0,0,2,2
s009,27,4,72,245,0,25,3,0,8000,0.0,,1.0,1.0,4.0,1.0,,0,1,1,0,0,0,0
s011,27,3,72,350,1,60,3,0,27000,0.0,,1.0,1.0,4.0,1.0,1.0,0,0,0,0,0,0,0
s012,36,3,68,266,0,146,5,4,32000,0.0,,1.0,1.0,4.0,1.0,,1,0,0,400,0,2,0
s014,29,2,68,230,0,120,2,1,10000,0.0,,,,,,,0,0,0,0,0,0,0
s015,27,2,75,200,0,36,4,0,24000,0.0,,1.0,1.0,1.0,1.0,,0,0,1,0,0,0,0
s017,31,4,69,180,0,36,5,0,48000,1.0,90,1.0,4.0,1.0,1.0,1.0,3,1,0,200,0,0,0
s026,38,4,71,195,0,24,5,0,30000,0.0,,1.0,1.0,1.0,1.0,,0,0,0,0,0,1,0
s027,30,3,72,183,0,84,1,0,19900,0.0,,1.0,1.0,1.0,1.0,,3,0,0,0,0,1,0
s028,31,4,66,210,0,48,5,0,35000,0.0,,1.0,4.0,4.0,3.0,,4,0,0,0,0,2,0
s032,38,3,72,235,1,132,6,1,78000,1.0,10,7.0,1.0,1.0,1.0,,2,0,2,210,0,2,0
s034,28,3,61,180,0,93,5,1,35000,0.0,,6.0,1.0,3.0,1.0,1.0,1,0,0,0,0,2,0
s042,29,4,65,125,0,24,3,0,49000,0.0,,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,0
s049,60,2,67,160,0,360,1,2,85000,0.0,,5.0,3.0,1.0,2.0,1.0,1,1,1,0,0,0,0
s060,49,4,64,145,0,24,3,0,25000,0.0,,1.0,1.0,1.0,2.0,,0,4,0,0,0,2,0
s062,26,6,66,132,0,15,2,0,60000,0.0,,1.0,1.0,8.0,1.0,1.0,2,2,4,2,0,0,0
s063,40,3,63,195,1,48,4,4,25000,0.0,,1.0,1.0,1.0,1.0,,2,0,1,0,0,2,0
s065,29,4,52,115,0,0,0,0,50000,0.0,,1.0,1.0,3.0,1.0,,1,0,0,0,0,0,0
s066,27,4,66,169,0,69,3,2,60000,1.0,10,1.0,1.0,4.0,2.0,,0,2,2,0,0,0,0
s071,41,3,64,200,1,132,6,1,99000,1.0,30,6.0,1.0,1.0,1.0,1.0,5,0,0,0,0,1,1
s081,43,3,69,180,0,48,3,0,52500,0.0,,1.0,3.0,1.0,2.0,,2,0,7,0,0,0,0
s082,30,2,69,220,0,0,0,0,25000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,2,0,0,0,0
s083,51,3,70,252,0,24,6,0,13000,0.0,,1.0,1.0,1.0,1.0,,0,0,14,0,0,5,5
s084,46,3,60,280,3,18,2,3,89000,0.0,0,3.0,3.0,1.0,1.0,2.0,1,0,4,1500,0,1,0
s085,37,4,65,129,0,8,3,0,68000,0.0,,1.0,1.0,1.0,1.0,,0,0,0,0,0,3,0
s086,25,4,67,145,0,2,3,0,60000,0.0,,,1.0,5.0,1.0,1.0,1,0,0,0,0,0,0
s089,32,4,62,127,0,192,1,2,35000,0.0,,6.0,1.0,1.0,3.0,,0,0,0,0,0,0,1
s091,30,4,67,135,0,120,2,0,80000,0.0,,1.0,2.0,4.0,2.0,,5,0,0,0,0,0,0
s092,34,3,66,160,0,124,3,3,80000,0.0,,1.0,2.0,1.0,2.0,1.0,0,0,2,0,0,1,0
s093,37,3,71,300,0,60,6,1,71999,0.0,,3.0,1.0,1.0,2.0,2.0,0,5,0,0,1,2,0
s094,40,4,71,230,0,48,5,0,35000,0.0,,,,,,,0,0,2,0,0,2,3
s097,33,4,63,155,0,66,5,0,60000,0.0,,1.0,1.0,7.0,2.0,,3,2,0,0,0,0,0
s098,26,5,68,135,0,126,6,0,27000,0.0,,1.0,1.0,4.0,1.0,,2,0,0,0,0,0,0
s103,32,3,64,141,0,159,5,2,15000,0.0,,1.0,1.0,1.0,1.0,1.0,3,2,0,0,0,2,0
